Gene ID	Gene Name	59M	A2780/CP70	COV318	CaOv3	DOV13	HEY A8	IGROV-1	IGROV-1/CP	IOSE-397	IOSE-7576	JHOS-2	JHOS-4	KURAMOCHI	ME-180	ME180C13	OVCA433	OVCAR3	OVCAR5	OVISE	OVKATE	OVSAHO	PEO1	PEO4	SKOV3IP	SNU-119	TOV-112D	TOV112DR	TYK-nu	TYK-nu.CP-r	primary fallopian tube epithelial cell	tumour tissue from individual 1	tumour tissue from individual 2	tumour tissue from individual 3	tumour tissue from individual 4	tumour tissue from individual 5
ENSG00000000003	TSPAN6	7725.0	6246.0	2163.0	55472.0	3886.0	3071.0	3421.0	11680.0	4436.0	6191.0	17931.0	4161.0	3070.0	3181.0	7252.0	4757.0	18542.0	4396.0	14535.0	11003.0	7268.0	2668.0		9005.0	5935.0	17248.0	11030.0	3019.0	924.0	17225.0	968.0	2498.0			
ENSG00000000419	DPM1	28371.0	83591.0	27175.0	29692.0	45705.0	23534.0	75595.0	63627.0	54633.0	38421.0	72545.0	29366.0	64360.0	82927.0	159131.0	91582.0	88098.0	54416.0	21766.0	80297.0	35183.0	16673.0	22810.0	91432.0	44149.0	81962.0	35582.0	101544.0	47294.0	61594.0	25049.0	100544.0	44699.0	49631.0	52566.0
ENSG00000000457	SCYL3	229.0	617.0	481.0		292.0	212.0	543.0	259.0	136.0	522.0		1586.0	639.0		852.0	503.0	695.0	1148.0	214.0	1999.0	1210.0			230.0	327.0	1158.0	2275.0	485.0			387.0	2958.0	725.0	276.0	
ENSG00000000460	C1orf112		388.0	490.0		382.0	212.0	1653.0	3195.0	781.0	1825.0	4220.0	258.0		522.0	808.0		1175.0	568.0	617.0	435.0	1794.0			378.0			674.0								
ENSG00000000971	CFH		7518.0	3331.0	102.0	82.0				315.0	188.0	1510.0	570.0				59.0	558.0	541.0			269.0	853.0				171.0		74.0			70468.0	64487.0	101177.0	133381.0	601648.0
ENSG00000001036	FUCA2	1109.0	1848.0	13013.0	21623.0	8425.0	1731.0	42022.0	35161.0	4622.0	3007.0	3321.0	7442.0	10994.0	11131.0	4953.0	8638.0	4914.0	10011.0	11379.0	2014.0	2220.0	3680.0	12170.0	10368.0	41943.0	437.0	995.0	977.0	2683.0	20873.0	8892.0	6650.0	5396.0	3927.0	3292.0
ENSG00000001084	GCLC	34478.0	13005.0	10991.0	38605.0	6204.0	17945.0	46711.0	48832.0	6919.0	16948.0	13702.0	20803.0	12782.0	280921.0	520605.0	20751.0	18037.0	59011.0	25580.0	6663.0	6707.0	9968.0	23023.0	35869.0	28339.0	22987.0	24012.0	10697.0	18284.0	48932.0	14680.0	14649.0	4725.0	10294.0	5519.0
ENSG00000001167	NFYA	44034.0	124977.0	39992.0	42633.0	115039.0	23930.0	99534.0	111540.0	84599.0	71914.0	26163.0	61988.0	48071.0	32642.0	75521.0	66979.0		89178.0	106372.0	7624.0	36444.0	43723.0	87131.0	183630.0	100811.0	81494.0	182798.0		78673.0	29751.0	53498.0	46447.0	14995.0	36666.0	25786.0
ENSG00000001497	LAS1L	19288.0	45903.0	12525.0	22898.0	28979.0	31651.0	26794.0	29451.0	20249.0	24723.0	16211.0	25478.0	27659.0	24842.0	24253.0	12023.0	24561.0	19045.0	27093.0	14768.0	27538.0	12223.0	18312.0	24248.0	20668.0	52189.0	39226.0	30133.0	20716.0	9265.0	8514.0	10318.0	12958.0	9007.0	4184.0
ENSG00000001561	ENPP4	5634.0		11796.0	8377.0	3063.0	1082.0	3068.0	4546.0	1840.0		6266.0	6673.0	1217.0			1439.0	4029.0	23798.0	1785.0	5234.0	2576.0	1656.0	1050.0	1013.0	3601.0	10072.0	2775.0			3636.0	3365.0	5312.0	1357.0	2362.0	986.0
